# Segment 2
# Start time: 2.280 s
# End time: 2.430 s
# Duration: 0.150 s
# Peak amplitude: 3.9849
# RMS: 1.5462
#
Time (s),Signal
0.0,0.5804384704975243
0.001,-0.9686392734147212
0.002,-1.2022855653618953
0.003,-0.6462545251287066
0.004,-0.47557403295171247
0.005,-0.36157762252528236
0.006,1.4538117890392115
0.007,1.628062873025208
0.008,-1.1627104576404106
0.009,0.8927803577459512
0.01,1.2582731416913726
0.011,1.6237411286088606
0.012,1.8544055981525884
0.013,-1.4936715041230024
0.014,-0.6004236814297546
0.015,-1.6302280370219404
0.016,-1.653973678533304
0.017,-0.9201305576643947
0.018,-2.8392358215561155
0.019,-2.206163034078316
0.02,-1.2160089241124776
0.021,1.794529343132349
0.022,0.21756270456620364
0.023,-1.5004095740457115
0.024,1.4095545316380282
0.025,0.07901322352999038
0.026,1.2712613205200738
0.027,2.2185825199737996
0.028,0.09138142824780099
0.029,1.289539532060623
0.03,0.03644919090769577
0.031,-0.3576243066472905
0.032,2.4513568259400658
0.033,-0.29227513287203927
0.034,-2.046740616145783
0.035,1.0382818041839288
0.036,0.08227697598039246
0.037,0.9692823631387373
0.038,2.252684530549459
0.039,-0.9764204326016803
0.04,-0.5229585274687023
0.041,1.7654558063493755
0.042,2.824410258653791
0.043,-1.2606441155617827
0.044,-2.6506788443308587
0.045,-0.17950373718864482
0.046,-1.3379520446862003
0.047,-0.048829709059034415
0.048,-0.3440676155157757
0.049,-2.6173046490539305
0.05,-3.3106088857911695
0.051,0.2344710537440518
0.052,0.5539959542683333
0.053,-2.8822113184223443
0.054,-0.44646296621524384
0.055,1.4705441891137319
0.056,1.6448909882046916
0.057,2.833030295324143
0.058,2.348495704050242
0.059,-0.9429564971836674
0.06,-0.1383044153173017
0.061,0.40838873859111335
0.062,0.4949619526840425
0.063,1.5029887815066219
0.064,-3.229912302090167
0.065,-2.4576008500669935
0.066,1.7789393768575217
0.067,0.28145274739491816
0.068,-2.037067714782198
0.069,-1.4385244894419138
0.07,-0.3389138312418355
0.071,1.6366282749644978
0.072,0.7400628038673082
0.073,0.46264774891697696
0.074,3.657819617807929
0.075,0.48546890721341684
0.076,1.4491158029310303
0.077,1.0188004203525602
0.078,-1.0590373274730325
0.079,1.4725125353708615
0.08,-0.5655572205164232
0.081,-0.8917558146977673
0.082,-1.6539733500811271
0.083,0.08330089808112184
0.084,-0.8291631722315319
0.085,-1.6935416775542786
0.086,0.45715226555836463
0.087,-1.9921452308004115
0.088,-0.9076100458533682
0.089,0.09902771397166873
0.09,2.3141276070509633
0.091,0.5502876069033029
0.092,-0.7820295872047948
0.093,-0.5933706393544049
0.094,-2.3291728235044005
0.095,2.5881181249039162
0.096,2.8835717673145753
0.097,0.8949925728514945
0.098,0.24243316186255004
0.099,-1.428130076078454
0.1,-1.7565419224924983
0.101,-0.20507080625524865
0.102,-0.8719928192830174
0.103,-2.494119756700186
0.104,-0.7753476844352355
0.105,0.6496609483960926
0.106,2.2579843090753866
0.107,1.8618595988518905
0.108,0.20236234689067406
0.109,-1.076180791564755
0.11,1.1124349364773316
0.111,2.597679464835173
0.112,-0.11451790874046575
0.113,-0.3287695048776486
0.114,-0.04526034131954937
0.115,-1.9748833973539848
0.116,-0.25649583608316556
0.117,-0.27111793195062756
0.118,-2.8602408234984122
0.119,-1.4108924791858746
0.12,-2.215923960048228
0.121,2.436814917569631
0.122,3.984926112816189
0.123,-0.26343662788843303
0.124,0.22427803249210237
0.125,0.9427436065619406
0.126,2.332009862077214
0.127,0.6905568111049245
0.128,-0.2911499469955919
0.129,-0.7548492691312888
0.13,-1.4778600380596465
0.131,0.006037945010865804
0.132,0.39658145638024717
0.133,-1.6725769871181093
0.134,-1.5223232207251525
0.135,-0.879759322461206
0.136,-0.45386433839317863
0.137,0.6840318457742535
0.138,-2.2418657279356236
0.139,-0.47344658163185716
0.14,1.959554359094456
0.141,0.4264764324245897
0.142,2.762668013020435
0.143,3.2098402460890223
0.144,-1.7009489985990445
0.145,-1.1407393379521407
0.146,0.7718401443456342
0.147,0.11892449015180026
0.148,1.1170996065740981
0.149,-0.9522012241641273
