Time (s),Signal
0.0,-0.0023990932787331075
0.001,-0.0008017824776811754
0.002,0.013650712478408707
0.003,0.022911151649311443
0.004,0.0048611881725635206
0.005,-7.229127334969503e-05
0.006,0.017532268191740637
0.007,0.007216199665780451
0.008,-0.0028000551538774625
0.009,0.006480250922363902
0.01,-0.0031084437351958393
0.011,-0.0047241482648948604
0.012,0.0012952169253565152
0.013,-0.019713167747801144
0.014,-0.01927118956135234
0.015,-0.006355487331283058
0.016,-0.015124726736868033
0.017,-0.0007972941983537961
0.018,-0.016243905174586414
0.019,-0.01539902149700393
0.02,0.01641045226728008
0.021,0.008356084007577194
0.022,0.01480026960047924
0.023,0.0018212074784206876
0.024,0.008964785612461808
0.025,0.010614257592854122
0.026,-0.0029881121420005504
0.027,0.008537227147099528
0.028,0.0016189602397998965
0.029,0.0023125666693924306
0.03,0.0004569529107390284
0.031,0.021917006025433783
0.032,0.0017179162438919712
0.033,-0.009155028031891577
0.034,0.007197232593459632
0.035,-0.011185307335345486
0.036,-0.0019317611106736362
0.037,-0.0214587883520606
0.038,-0.02026066245177747
0.039,0.0006164232248512349
0.04,0.006452556397002165
0.041,0.009543081867086389
0.042,0.00837790432808526
0.043,0.009755792585353591
0.044,-0.0053940986760272185
0.045,-0.0007952252043637306
0.046,-0.0017023298473620705
0.047,0.012048906411346788
0.048,0.005614567781433248
0.049,-0.01558134533603834
0.05,0.005524693267715505
0.051,-0.004321908651799835
0.052,-0.008165311661021062
0.053,0.002093788938522889
0.054,0.007265050988161496
0.055,0.004365811050009976
0.056,-0.012655067144131425
0.057,-0.010800611802658582
0.058,-0.0033733929320533085
0.059,0.0022359980420634247
0.06,-0.006143581471564564
0.061,-0.0006427911260677324
0.062,-0.002842852296277365
0.063,-0.006143540889061419
0.064,0.01619248674492984
0.065,0.013324855163386537
0.066,0.0024611903756748483
0.067,0.005614415231703064
0.068,0.007904469915339189
0.069,-0.01019410614847928
0.07,0.009017895752131326
0.071,0.009558917143519297
0.072,0.0020914134672782307
0.073,0.007974047279965566
0.074,-0.025513364524635714
0.075,0.0017402465084139101
0.076,-0.0009676788297850494
0.077,-0.009613886492258495
0.078,-0.004674719498211221
0.079,-0.0238677919559833
0.08,-0.004535555394548399
0.081,0.008913197296708874
0.082,0.019754598070021185
0.083,0.00516745149166312
0.084,-0.003528595023235051
0.085,0.0003598828338193387
0.086,0.009436115290643952
0.087,0.004875812042610043
0.088,-0.003608280918270495
0.089,0.0074037102360506556
0.09,0.0043242033713094905
0.091,0.009989560210523045
0.092,-0.005976722851230809
0.093,-0.005385748531024066
0.094,-0.004163869627761647
0.095,-0.016641075392042307
0.096,0.0011245886549284567
0.097,-0.0009426552898673338
0.098,-0.004764641398611158
0.099,-0.005389941099959456
0.1,-0.015624965407120932
0.101,-0.000144697679216954
0.102,0.0022602997999018543
0.103,-0.0005590568050212643
0.104,0.003437774435118126
0.105,0.005597896822313138
0.106,0.01949090437719183
0.107,-0.0006173514556446169
0.108,0.004847880803556008
0.109,-0.001781261171305569
